taxa	scientific_name	rank
Cymbopleura korana	Cymbopleura korana Krammer, 2003	SPECIES
Cymbopleura laeviformis	Cymbopleura laeviformis K.Krammer, 2003	SPECIES
Cymbopleura lanceolata	Cymbopleura lanceolata (Krammer) Krammer, 2003	SPECIES
Cymbopleura lapponica	Cymbopleura lapponica (Grunow) Krammer, 2003	SPECIES
Cymbopleura lata	Cymbopleura lata (Grunow) Krammer, 2003	SPECIES
Cymbopleura lata var. lata	Cymbopleura lata var. lata	VARIETY
Cymbopleura lata var. truncata	Cymbopleura lata var. truncata Krammer, 2003	VARIETY
Cymbopleura metzeltinii	Cymbopleura metzeltinii K.Krammer, 2003	SPECIES
Cymbopleura naviculiformis	Cymbopleura naviculiformis (Auerswald ex Heiberg) Krammer, 2003	SPECIES
Cymbopleura neoheteropleura	Cymbopleura neoheteropleura Krammer, 2003	SPECIES
Cymbopleura perstechlinensis	Cymbopleura perstechlinensis Krammer & Metzeltin, 2003	SPECIES
Cymbopleura platycephala	Cymbopleura platycephala (A.Mayer) K.Krammer, 2003	SPECIES
Cymbopleura reinhardtii	Cymbopleura reinhardtii (Grunow) K.Krammer, 2003	SPECIES
Cymbopleura rhomboidea	Cymbopleura rhomboidea K.Krammer, 2003	SPECIES
Cymbopleura rhomboidea var. angusta	Cymbopleura rhomboidea var. angusta K.Krammer, 2003	VARIETY
Cymbopleura rhomboidea var. rhomboidea	Cymbopleura rhomboidea var. rhomboidea	VARIETY
Cymbopleura rupicola	Cymbopleura rupicola (Grunow) Krammer, 2003	SPECIES
Cymbopleura rupicola var. minor	Cymbopleura rupicola var. minor Krammer, 2003	VARIETY
Cymbopleura rupicola var. rupicola	Cymbopleura rupicola var. rupicola	VARIETY
Cymbopleura similiformis	Cymbopleura similiformis K.Krammer, 2003	SPECIES
Cymbopleura similiformis var. angusta	Cymbopleura similiformis var. angustata K.Krammer, 2003	VARIETY
Cymbopleura similiformis var. similiformis	Cymbopleura similiformis var. similiformis	VARIETY
Cymbopleura similis	Cymbopleura similis (Krasske) Krammer, 2003	SPECIES
Cymbopleura stauroneiformis	Cymbopleura stauroneiformis (Lagerstedt) K.Krammer, 2003	SPECIES
Cymbopleura stechlinensis	Cymbopleura stechlinensis Krammer, 2003	SPECIES
Cymbopleura subaequalis	Cymbopleura subaequalis (Grunow) Krammer, 2003	SPECIES
Cymbopleura subaequalis var. alpestris	Cymbopleura subaequalis var. alpestris Krammer, 2003	VARIETY
Cymbopleura subaequalis var. pertruncata	Cymbopleura subaequalis var. pertruncata Krammer, 2003	VARIETY
Cymbopleura subaequalis var. subaequalis	Cymbopleura subaequalis var. subaequalis	VARIETY
Cymbopleura subaequalis var. truncata	Cymbopleura subaequalis var. truncata K.Krammer, 2003	VARIETY
Cymbopleura subaustriaca	Cymbopleura subaustriaca Krammer, 2003	SPECIES
Cymbopleura subcuspidata	Cymbopleura subcuspidata (Krammer) Krammer, 2003	SPECIES
Cymbopleura subheteropleura	Cymbopleura subheteropleura Krammer, 2003	SPECIES
Cymbopleura sublanceolata	Cymbopleura sublanceolata K.Krammer, 2003	SPECIES
Cymbopleura sublancettula	Cymbopleura sublancettula K.Krammer, 2003	SPECIES
Cymbopleura tynnii	Cymbopleura tynnii (Krammer) Krammer, 2003	SPECIES
Dactyliosolen fragilissimus	Dactyliosolen fragilissimus (Bergon) Hasle, 1996	SPECIES
Decussata	Decussata (Patrick) H.Lange-Bertalot, 2000	GENUS
Decussata hexagona	Decussata hexagona (Torka) Lange-Bertalot, 2000	SPECIES
Decussata placenta	Decussata placenta (Ehrenberg) Lange-Bertalot & Metzeltin, 2000	SPECIES
Delicata	Delicata K.Krammer, 2003	GENUS
Delicata apiculata	Delicata apiculata K.Krammer, 2003	SPECIES
Delicata capitata	Delicata capitata K.Krammer, 2003	SPECIES
Delicata delicatula	Delicata delicatula (Kützing) Krammer, 2003	SPECIES
Delicata delicatula var. alpestris	Delicata delicatula var. alpestris Krammer, 2003	VARIETY
Delicata delicatula var. angusta	Delicata delicatula var. angusta Krammer, 2003	VARIETY
Delicata delicatula var. delicatula	Delicata delicatula var. delicatula	VARIETY
Delicata minuta	Delicata minuta K.Krammer, 2003	SPECIES
Delphineis	Delphineis G.W.Andrews, 1977	GENUS
Delphineis minutissima	Delphineis minutissima (Hustedt) Simonsen, 1987	SPECIES
Delphineis surirella	Delphineis surirella (Ehrenberg) G.W.Andrews, 1981	SPECIES
Delphineis surirelloides	Delphineis surirelloides (Simonsen) G.W.Andrews, 1981	SPECIES
Denticula	Denticula F.T.Kützing, 1844	GENUS
Denticula creticola	Denticula creticola (Østrup) Lange-Bertalot & K.Krammer, 1993	SPECIES
Denticula elegans	Denticula elegans Kützing, 1844	SPECIES
Denticula kuetzingii	Denticula kuetzingii Grunow, 1862	SPECIES
Denticula subtilis	Denticula subtilis Grunow, 1862	SPECIES
Denticula sundayensis	Denticula sundaysensis Archibald, 1982	SPECIES
Denticula tenuis	Denticula tenuis Kützing, 1844	SPECIES
Denticula thermalis	Denticula thermalis Kützing, 1844	SPECIES
Denticula valida	Denticula valida (Pedicino) Grunow, 1882-1885	SPECIES
Detonula	Detonula F.Schütt ex G.B.De Toni, 1894	GENUS
Detonula pumila	Detonula pumila (Castracane) Schütt, 1896	SPECIES
Diadesmis	Diadesmis F.T.Kützing, 1844	GENUS
Diadesmis aerophila	Diadesmis aerophila (Krasske) D.G.Mann, 1990	SPECIES
Diadesmis biceps	Diadesmis biceps G.A.Arnott	SPECIES
Diadesmis brekkaensis	Diadesmis brekkaensis (J.B.Petersen) D.G.Mann, 1990	SPECIES
Diadesmis brekkaensoides	Diadesmis brekkaensoides (W.Bock) Gerd Moser	SPECIES
Diadesmis confervacea	Diadesmis confervacea Kützing, 1844	SPECIES
Diadesmis contenta	Diadesmis contenta (Grunow) D.G.Mann, 1990	SPECIES
Diadesmis dissimilis	Diadesmis dissimilis G.Moser, Lange-Bertalot & D.Metzeltin, 1998	SPECIES
Diadesmis gallica	Diadesmis gallica W.Smith, 1857	SPECIES
Diadesmis irata	Diadesmis irata (Krasske) G.Moser, H.Lange-Bertalot & D.Metzeltin, 1998	SPECIES
Diadesmis lacunosa	Diadesmis lacunosa Gerd Moser, Lange-Bertalot & Metzeltin, 1998	SPECIES
Diadesmis laevissima	Diadesmis laevissima (Cleve) Mann, 1990	SPECIES
Diadesmis paracontenta	Diadesmis paracontenta Lange-Bertalot & Werum, 1999	SPECIES
Diadesmis perpusilla	Diadesmis perpusilla (Grunow) D.G.Mann, 1990	SPECIES
Diadesmis simplex	Diadesmis simplex Reichardt, 2004	SPECIES
Diadesmis virginiana	Diadesmis virginiana Lange-Bertalot, 2001	SPECIES
Diatoma	-	-
Diatoma anceps	Diatoma anceps (Ehrenberg) Kirchner, 1878	SPECIES
Diatoma ehrenbergii	Diatoma ehrenbergii Kützing, 1844	SPECIES
Diatoma elongatum	Diatoma elongatum W.Smith, 1856	SPECIES
Diatoma hyemalis	Diatoma hyemalis (Roth) Heiberg, 1863	SPECIES
Diatoma hyemalis var. hyemalis	Diatoma hyemalis var. hyemalis	VARIETY
Diatoma hyemalis var. maxima	Diatoma hyemalis var. maxima (Grunow) Meister, 1912	VARIETY
Diatoma mesodon	Diatoma mesodon (Ehrenberg) Kützing, 1844	SPECIES
Diatoma moniliformis	Diatoma moniliformis Kützing, 1833	SPECIES
Diatoma moniliformis ssp. moniliformis	Diatoma moniliformis subsp. moniliformis	SUBSPECIES
Diatoma moniliformis ssp. ovalis	Diatoma moniliformis subsp. ovalis (Fricke) Lange-Bert., Rumrich & G.Hofmann, 1991	SUBSPECIES
Diatoma problematica	Diatoma problematica Lange-Bertalot, 1993	SPECIES
Diatoma tenuis	Diatoma tenuis C.Agardh, 1812	SPECIES
Diatoma vulgaris	Diatoma vulgaris Bory de Saint-Vincent, 1824	SPECIES
Diatomella	Diatomella R.K.Greville, 1855	GENUS
Diatomella balfouriana	Diatomella balfouriana Greville, 1855	SPECIES
Dickieia	Dickieia M.J.Berkeley ex F.T.Kützing, 1844	GENUS
Dickieia soodensis	Dickieia soodensis (Krasske) Reichardt, 1997	SPECIES
Dickieia subinflata	Dickieia subinflata (Grunow) D.G.Mann, 1994	SPECIES
Didymosphenia geminata	Didymosphenia geminatum (Lyngbye) M.Schmidt, 1899	SPECIES
Dimeregramma	Dimeregramma J.Ralfs, 1861	GENUS
Dimeregramma minor	Dimeregramma minor (Gregory) Ralfs, 1861	SPECIES
Dimeregramma minor var. minor	Dimeregramma minor var. minor	VARIETY
Diploneis	Diploneis (C.G.Ehrenberg) P.T.Cleve, 1894	GENUS
Diploneis aestuarii	Diploneis aestuari Hustedt, 1939	SPECIES
Diploneis alpina	Diploneis alpina Meister, 1912	SPECIES
Diploneis boldtiana	Diploneis boldtiana Cleve, 1891	SPECIES
Diploneis bombus	Diploneis bombus (Ehrenberg) Ehrenberg, 1853	SPECIES
Diploneis didyma	Naviculales	ORDER
Diploneis domblittensis	Diploneis domblittensis (Grunow) Cleve, 1894	SPECIES
Diploneis elliptica	Diploneis elliptica (Kützing) Cleve, 1894	SPECIES
Diploneis fontanella	Diploneis fontanella Lange-Bertalot, 2004	SPECIES
Diploneis fontium	Diploneis fontium Reichardt & Lange-Bertalot, 2004	SPECIES
Diploneis interrupta	Diploneis interrupta (Kützing) Cleve, 1894	SPECIES
Diploneis krammeri	Diploneis krammeri Lange-Bertalot & E.Reichardt, 2000	SPECIES
Diploneis marginestriata	Diploneis marginestriata Hustedt, 1922	SPECIES
Diploneis mauleri	Diploneis mauleri (Brun) Cleve, 1894	SPECIES
Diploneis minuta	Diploneis minuta J.B.Petersen, 1928	SPECIES
Diploneis modica	Diploneis modica Hustedt, 1945	SPECIES
Diploneis oblongella	Diploneis oblongella (Nägeli) R.Ross	SPECIES
Diploneis oculata	Diploneis oculata (Brébisson) Cleve, 1894	SPECIES
Diploneis ovalis	Diploneis ovalis H.Lange-Bertalot	SPECIES
Diploneis parma	Diploneis parma Cleve, 1891	SPECIES
Diploneis petersenii	Diploneis petersenii Hustedt	SPECIES
Diploneis pseudovalis	Diploneis pseudoovalis Hustedt, 1930	SPECIES
Diploneis puella	Diploneis puella (Schumann) Cleve, 1894	SPECIES
Diploneis separanda	Diploneis separanda Lange-Bertalot, 2004	SPECIES
Diploneis smithii	Diploneis smithii (Brébisson) Cleve, 1894	SPECIES
Diploneis smithii var. dilatata	Diploneis smithii var. dilatata (Peragallo) Terry, 1908	VARIETY
Diploneis smithii var. pumila	Diploneis smithii var. pumila (Grunow) Hustedt, 1937	VARIETY
Diploneis smithii var. rhombica	Diploneis smithii subsp. rombica Mereschkowsky	SUBSPECIES
Diploneis smithii var. smithii	Diploneis smithii var. smithii	VARIETY
Diploneis stroemii	Diploneis stroemi Hustedt, 1937	SPECIES
Discostella	Discostella Houk & Klee, 2004	GENUS
Discostella glomerata	Discostella glomerata (H.Bachmann) Houk & Klee, 2004	SPECIES
Discostella pseudostelligera	Discostella pseudostelligera (Hustedt) Houk & Klee, 2004	SPECIES
Discostella stelligera	Discostella stelligera (Cleve & Grunow) Houk & Klee, 2004	SPECIES
Discostella stelligeroides	Discostella stelligeroides (Hustedt) Houk & Klee	SPECIES
Discostella woltereckii	Discostella woltereckii (Hustedt) V.Houk & R.Klee, 2004	SPECIES
Ditylum	Ditylum J.W.Bailey ex L.W.Bailey, 1861	GENUS
Ditylum brightwellii	Ditylum brightwellii (T.West) Grunow, 1885	SPECIES
Ellerbeckia arenaria	Ellerbeckia arenaria (Moore ex Ralfs) R.M.Crawford, 1988	SPECIES
Encyonema	Encyonema Kütz., 1833	GENUS
Encyonema aequilongum	Encyonema aequilongum Lange-Bertalot & Krammer, 1997	SPECIES
Encyonema alpinum	Encyonema alpinum (M.Heribaud), 1862	SPECIES
Encyonema auerswaldii	Encyonema auerswaldii Rabenhorst, 1853	SPECIES
Encyonema bipartitum	Encyonema bipartitum (A.Mayer) Krammer, 1997	SPECIES
Encyonema brehmii	Encyonema brehmii (Hustedt) D.G.Mann, 1990	SPECIES
Encyonema carina	Encyonema carina Lange-Bertalot & Krammer, 1997	SPECIES
Encyonema cespitosum	Encyonema cespitosum Kütz.	SPECIES
Encyonema cespitosum var. cespitosum	Encyonema cespitosum var. cespitosum	VARIETY
Encyonema cespitosum var. comensis	Encyonema cespitosum var. comensis Krammer, 1997	VARIETY
Encyonema cespitosum var. maxima	Encyonema cespitosum var. maxima Krammer, 1997	VARIETY
Encyonema disjunctum	Encyonema disjunctum E.Reichardt, 2004	SPECIES
Encyonema distinctum	Encyonema distinctum Lange-Bertalot & Krammer, 1997	SPECIES
Encyonema elginense	Encyonema elginense (Krammer) D.G.Mann, 1990	SPECIES
Encyonema gaeumannii	Encyonema gaeumannii (Meister) Krammer, 1997	SPECIES
Encyonema guatemalense	Encyonema guatemalense Krammer, 1997	SPECIES
Encyonema hebridicum	Encyonema hebridicum (Gregory) Grunow, 1891	SPECIES
Encyonema hebridiforme	Encyonema hebridiforme Krammer, 1997	SPECIES
Encyonema hintzii	Encyonema hintzii Krammer, 1997	SPECIES
Encyonema hophense	Encyonema hophense Krammer, 1997	SPECIES
Encyonema kalbei	Encyonema kalbei Krammer, 1997	SPECIES
Encyonema kuelbsii	Encyonema kuelbsii Lange-Bertalot & Krammer, 1997	SPECIES
Encyonema lacustre	Encyonema lacustre (C.Agardh) Pant.	SPECIES
Encyonema lange-bertalotii	Encyonema lange-bertalotii Krammer, 1997	SPECIES
Encyonema leibleinii	Encyonema leibleinii (C.Agardh) W.J.Silva et al.	SPECIES
Encyonema lunatum	Encyonema lunatum (W.Smith) Van Heurck, 1896	SPECIES
Encyonema minutiforme	Encyonema minutiforme Krammer, 1997	SPECIES
Encyonema minutum	Encyonema minutum Round et al.	SPECIES
Encyonema neogracile	Encyonema neogracile Krammer, 1997	SPECIES
Encyonema neogracile var. neogracile	Encyonema neogracile var. neogracile	VARIETY
Encyonema neogracile var. tenuipunctatum	Encyonema neogracile var. tenuipunctata Krammer, 1997	VARIETY
Encyonema norvegicum	Encyonema norvegicum (Grunow) Mayer, 1947	SPECIES
Encyonema norvegicum var. alpinum	Encyonema norvegicum var. alpinum Krammer, 1997	VARIETY
Encyonema norvegicum var. norvegicum	Encyonema norvegicum var. norvegicum	VARIETY
Encyonema obscurum	Encyonema obscurum (Krasske) D.G.Mann, 1990	SPECIES
Encyonema obscurum var. alpina	Encyonema obscurum var. alpina Krammer, 1997	VARIETY
Encyonema obscurum var. obscurum	Encyonema obscurum var. obscurum	VARIETY
Encyonema parvum	Encyonema parvum Krammer, 1997	SPECIES
Encyonema paucistriatum	Encyonema paucistriatum (Cleve-Euler) D.G.Mann, 1990	SPECIES
Encyonema pergracile	Encyonema pergracile Krammer, 1997	SPECIES
Encyonema perpusillum	Encyonema perpusillum (Cleve) D.G.Mann, 1990	SPECIES
Encyonema procerum	Encyonema procerum Krammer, 1997	SPECIES
Encyonema prostratum	Encyonema prostratum (Berkeley) Kützing, 1844	SPECIES
Encyonema reichardtii	Encyonema reichardtii (Krammer) D.G.Mann, 1990	SPECIES
Encyonema schimanskii	Encyonema schimanskii Krammer, 1997	SPECIES
Encyonema semilanceolatum	Encyonema semilanceolatum Krammer, 1997	SPECIES
Encyonema silesiacum	Encyonema silesiacum Round et al.	SPECIES
Encyonema silesiacum var. distigmatum	Encyonema silesiacum var. distigmata Krammer, 1997	VARIETY
Encyonema silesiacum var. distinctepunctatum	Encyonema silesiacum var. distinctepunctata Krammer, 1997	VARIETY
Encyonema silesiacum var. excisum	Encyonema silesiacum var. excisa Krammer, 1997	VARIETY
Encyonema silesiacum var. latareum	Encyonema silesiacum var. latarea Krammer, 1997	VARIETY
Encyonema silesiacum var. latestriatum	Encyonema silesiacum var. latistriata Krammer, 1997	VARIETY
Encyonema silesiacum var. latum	Encyonema silesiacum var. lata Krammer, 1997	VARIETY
Encyonema silesiacum var. silesiacum	Encyonema silesiacum var. silesiacum	VARIETY
Encyonema silesiacum var. ventriforme	Encyonema silesiacum var. ventriformis Krammer, 1997	VARIETY
Encyonema subnorvegicum	Encyonema subnorvegicum Krammer, 1997	SPECIES
Encyonema triangulum	Encyonema triangulum (Ehrenberg) Kützing, 1849	SPECIES
Encyonema ventricosum	Encyonema ventricosum Van Heurck, 1880-1885	SPECIES
Encyonema vulgare var. vulgare	Encyonema vulgare var. vulgare	VARIETY
Encyonopsis	Encyonopsis K.Krammer, 1997	GENUS
Encyonopsis aequalis	Encyonopsis aequalis (W.Smith) Krammer, 1997	SPECIES
Encyonopsis alpina	Encyonopsis alpina Krammer & Lange-Bertalot, 1997	SPECIES
Encyonopsis angusta	Encyonopsis angusta Krammer & Lange-Bertalot, 1997	SPECIES
Encyonopsis cesatiformis	Encyonopsis cesatiformis Krammer, 1997	SPECIES
Encyonopsis cesatii	Encyonopsis cesatii (Rabenhorst) Krammer, 1997	SPECIES
Encyonopsis cesatii var. cesatii	Encyonopsis cesatii var. cesatii	VARIETY
Encyonopsis cesatii var. geitleri	Encyonopsis cesatii var. geitleri Krammer, 1997	VARIETY
Encyonopsis descripta	Encyonopsis descripta (Hustedt) Krammer, 1997	SPECIES
Encyonopsis descripta var. asymmetrica	Encyonopsis descripta var. asymmetrica Krammer, 1997	VARIETY
Encyonopsis descripta var. descripta	Encyonopsis descripta var. descripta	VARIETY
Encyonopsis eifelana	Encyonopsis eifelana Krammer, 1997	SPECIES
Encyonopsis falaisensis	Encyonopsis falaisensis (Grunow) Krammer, 1997	SPECIES
Encyonopsis grunowii	Encyonopsis grunowii Krammer, 1997	SPECIES
Encyonopsis krammeri	Encyonopsis krammeri E.Reichardt, 1997	SPECIES
Encyonopsis lanceola	Encyonopsis lanceola (Grunow) Krammer, 1997	SPECIES
Encyonopsis microcephala	Encyonopsis microcephala (Grunow) Krammer, 1997	SPECIES
Encyonopsis minuta	Encyonopsis minuta Krammer & E.Reichardt, 1997	SPECIES
Encyonopsis neoamphioxys	Encyonopsis neoamphioxys Krammer, 1997	SPECIES
Encyonopsis perborealis	Encyonopsis perborealis Krammer, 1997	SPECIES
Encyonopsis subminuta	Encyonopsis subminuta Krammer & E.Reichardt, 1997	SPECIES
Encyonopsis thumensis	Encyonopsis thumensis Krammer, 1997	SPECIES
Encyonopsis tiroliana	Encyonopsis tiroliana Krammer & Lange-Bertalot, 1997	SPECIES
Entomoneis	Entomoneis Ehrenberg, 1845	GENUS
Entomoneis alata	Entomoneis alata (Ehrenberg) Ehrenberg, 1845	SPECIES
Entomoneis costata	Entomoneis costata (Hustedt) Reimer, 1975	SPECIES
Entomoneis ornata	Entomoneis ornata (Bailey) Reimer, 1975	SPECIES
Entomoneis paludosa	Entomoneis paludosa (W.Smith) Reimer, 1975	SPECIES
Entomoneis paludosa var. paludosa	Entomoneis paludosa var. paludosa	VARIETY
Entomoneis paludosa var. subsalina	Entomoneis paludosa var. subsalina (Cleve) Krammer, 1987	VARIETY
Eolimna	Eolimna H.Lange-Bertalot & W.Schiller, 1997	GENUS
Eolimna minima	Eolimna minima (Grunow) Lange-Bertalot & W.Schiller, 1997	SPECIES
Eolimna neocaledonica	Eolimna neocaledonica (Manguin ex Kociolek & Reviers) Lange-Bertalot	SPECIES
Eolimna silvahercynia	Eolimna silvahercynia (Lange-Bertalot) Lange-Bertalot, 2004	SPECIES
Eolimna subadnata	Eolimna subadnata (Hustedt) Gerd Moser, Lange-Bertalot & Metzeltin	SPECIES
Eolimna subminuscula	Eolimna subminuscula (Manguin) Gerd Moser, Lange-Bertalot & D.Metzeltin, 1998	SPECIES
Eolimna tantula	Eolimna tantula (Hustedt) Lange-Bertalot, 2004	SPECIES
Eolimna utermoehlii	Eolimna utermoehlii (Hustedt) H.Lange-Bertalot, M.Kulikovskiy & A.Witkowski, 2010	SPECIES
Eolimna witkowskii	Eolimna H.Lange-Bertalot & W.Schiller, 1997	GENUS
Epithemia	Epithemia F.T.Kützing, 1844	GENUS
Epithemia adnata	Epithemia adnata (Kützing) Brébisson, 1838	SPECIES
Epithemia argus	Epithemia argus W.Smith, 1853	SPECIES
Epithemia argus var. alpestris	Epithemia argus var. alpestris (W.Smith) Grunow, 1862	VARIETY
Epithemia argus var. argus	Epithemia argus var. argus	VARIETY
Epithemia cistula	Epithemia cistula Cleve-Euler, 1932	SPECIES
Epithemia frickei	Epithemia frickei Krammer, 1987	SPECIES
Epithemia goeppertiana	Epithemia goeppertiana Hilse, 1861	SPECIES
Epithemia hyndmanii	Epithemia hyndmanii W.Smith, 1850	SPECIES
Epithemia smithii	Epithemia smithii Carruthers, 1864	SPECIES
Epithemia sorex	Epithemia sorex Kützing, 1844	SPECIES
Epithemia turgida	Epithemia turgida (Ehrenberg) Kützing, 1844	SPECIES
Epithemia turgida var. granulata	Epithemia turgida var. granulata (Ehrenberg) Brun, 1880	VARIETY
Epithemia turgida var. turgida	Epithemia turgida var. turgida	VARIETY
Epithemia westermannii	Epithemia westermannii (Ehrenberg) Kützing, 1844	SPECIES
Epithemia zebra	Epithemia zebra (Ehrenberg) Kützing, 1844	SPECIES
Eucampia	Eucampia C.G.Ehrenberg, 1839	GENUS
Eucampia zodiacus	Eucampia zodiacus Ehrenberg, 1839	SPECIES
Eucocconeis	Eucocconeis P.T.Cleve ex F.Meister, 1912	GENUS
Eucocconeis alpestris	Eucocconeis alpestris (Brun) Lange-Bertalot, 1999	SPECIES
Eucocconeis austriaca	Eucocconeis austriaca H.Lange-Bertalot	SPECIES
Eucocconeis diluviana	Eucocconeis diluviana Lange-Bertalot	SPECIES
Eucocconeis flexella	Eucocconeis flexella (Kütz.) Cleve, 1885	SPECIES
Eucocconeis laevis	Eucocconeis laevis (Østrup) Lange-Bertalot, 1999	SPECIES
Eucocconeis leptostriata	Eucocconeis leptostriata Lange-Bertalot, 1999	SPECIES
Eucocconeis quadratarea	Eucocconeis quadratarea (Østrup) Lange-Bertalot, 1999	SPECIES
Eunotia	Eunotia C.G.Ehrenberg, 1837	GENUS
Eunotia ambivalens	Eunotia ambivalens Lange-Bertalot & Tagliaventi, 2011	SPECIES
Eunotia angusta	Eunotia angusta (Grunow) Å.Berg, 1939	SPECIES
Eunotia angustior	Eunotia angustior H.Lange-Bertalot & N.Tagliaventi, 2011	SPECIES
Eunotia arcubus	Eunotia arcubus Nörpel & Lange-Bertalot, 1993	SPECIES
Eunotia arculus	Eunotia arculus (Grunow) Lange-Bertalot & Nörpel, 1991	SPECIES
Eunotia arcus sensu stricto	Eunotia arcus Ehrenberg, 1837	SPECIES
Eunotia arcus var. bidens	Eunotia arcus var. bidens Grunow, 1881	VARIETY
Eunotia bidens	Eunotia bidens Dalla Torre & Sarnthein, 1901	SPECIES
Eunotia bigibba	Eunotia bigibba Kützing, 1849	SPECIES
Eunotia bilunaris	Eunotia bilunaris (Ehrenberg) Schaarschmidt, 1880	SPECIES
Eunotia bilunaris var. bilunaris	Eunotia bilunaris var. bilunaris	VARIETY
Eunotia bilunaris var. linearis	Eunotia bilunaris var. linearis (Okuno) Lange-Bert. & Nörpel-Schempp	VARIETY
Eunotia bilunaris var. mucophila	Eunotia bilunaris var. mucophila Lange-Bert., Nörpel & Alles	VARIETY
Eunotia boreoalpina	Eunotia boreoalpina Lange-Bertalot & Nörpel-Schempp, 1998	SPECIES
