taxa	harmonized_name	rank
Achnanthes petersenii	Achnanthes petersenii Hustedt, 1937	SPECIES
Achnanthidium pfisteri	Achnanthidium pfisteri H.Lange-Bertalot, 2004	SPECIES
Achnantheiopsis frequentissima var. magna	Achnantheiopsis frequentissima var. magna (F.Straub) Lange-Bert., 1997	VARIETY
Achnantheiopsis frequentissima	Achnantheiopsis frequentissima (Lange-Bert.) Lange-Bert., 1997	SPECIES
Achnanthes ploenensis var. gessneri	Achnanthes ploenensis var. gessneri (Hustedt) Lange-Bertalot, 1989	VARIETY
Achnanthes pseudohungarica	Achnanthes pseudohungarica Cholnoky-Pfannkuche, 1966	SPECIES
Amphora paulii	Amphora paulii Patrick, 1970	SPECIES
Achnanthes pinnata	Achnanthes pinnata Hustedt, 1922	SPECIES
Achnanthes plitvicensis	Achnanthes plitvicensis Hustedt, 1945	SPECIES
Achnanthes plana	Achnanthes plana J.R.Carter, 1963	SPECIES
Achnanthes ploenensis	Achnanthes ploenensis	SPECIES
Achnanthes pusilla var. petersenii	Achnanthes pusilla var. petersenii (Hustedt) Lange-Bertalot, 1980	VARIETY
Achnanthes pusilla var. procera	Achnanthes pusilla var. procera (Hustedt) Lange-Bertalot & Ruppel, 1980	VARIETY
Achnanthes pseudopunctulata	Achnanthes pseudopunctulata Simonsen, 1959	SPECIES
Achnanthes praecipua	Achnanthes praecipua E.Reichardt, 1988	SPECIES
Achnanthes procera	Achnanthes procera Hustedt, 1945	SPECIES
Achnanthes parallela	Achnanthes parallela Castracane, 1886	SPECIES
Amphiprora paludosa var. subsalina	Amphiprora paludosa var. subsalina Cleve, 1894	VARIETY
Achnanthes pseudotanensis	Achnanthes pseudotanensis A.Cleve-Euler, 1953	SPECIES
Achnantheiopsis pseudotanensis	Achnantheiopsis pseudotanensis (Cleve-Euler) Lange-Bert., 1997	SPECIES
Achnanthes ploenensis terato	Achnanthes ploenensis	SPECIES
Achnanthes pusilla	Achnanthes pusilla Woodhead & Tweed, 1960	SPECIES
Achnanthes pyrenaica	Achnanthes pyrenaica	SPECIES
Achnanthes rechtensis	Achnanthes rechtensis Leclercq, 1983	SPECIES
Achnanthes rhynchocephala	Achnanthes rhynchocephala Cleve-Euler, 1915	SPECIES
Achnanthes rostrata var. magna	Achnanthes rostrata var. magna F.Straub, 1985	VARIETY
Achnanthes rosenstockii	Achnanthes rosenstockii Lange-Bertalot, 1989	SPECIES
Achnanthes rostrata	Achnanthes rostrata Oestrup, 1902	SPECIES
Achnanthes rupestoides	Achnanthes rupestoides Hohn, 1961	SPECIES
Achnanthidium rostropyrenaicum	Achnanthidium rostropyrenaicum I.Jüttner & E.J.Cox, 2011	SPECIES
Achnanthes rosenstockii var. sinepuncta	Achnanthes rosenstockii var. sinepuncta Lange-Bertalot, 1991	VARIETY
Achnanthes rossii	Achnanthes rossii Hustedt, 1954	SPECIES
Achnantheiopsis rostrata	Achnantheiopsis rostrata (Østrup) Lange-Bert., 1997	SPECIES
Achnanthes rupestoides terato	Achnanthes rupestoides Hohn, 1961	SPECIES
Amphipleura rutilans	Amphipleura rutilans (Trentepohl ex Roth) Cleve, 1894	SPECIES
Amphora salina	Amphora salina W.Smith, 1853	SPECIES
Anomoeoneis sphaerophora var. angusta	Anomoeoneis sphaerophora var. angusta Frenguelli, 1934	VARIETY
Achnanthes subatomoides	Achnanthes subatomoides (Hustedt) Lange-Bertalot & Archibald, 1985	SPECIES
Achnanthes saxonica	Achnanthes saxonica Krasske ex Hustedt, 1933	SPECIES
Anomoeoneis serians var. brachysira	Anomoeoneis serians var. brachysira (Bréb.) Cleve	VARIETY
Anomoeoneis serians var. brachysira f. thermalis	Anomoeoneis serians f. thermalis A.Cleve	FORM
Achnanthidium minutissimum var. scoticum	Achnanthidium minutissimum var. scoticum (Carter) H.Cremer, 2003	VARIETY
Achnanthes saccula	Achnanthes saccula J.R.Carter, 1981	SPECIES
Achnanthes sublaevis var. crassa	Achnanthes sublaevis var. crassa C.W.Reimer, 1966	VARIETY
Achnanthes scotica	Achnanthes scotica Lange-Bertalot, 1993	SPECIES
Anomoeoneis sculpta	Anomoeoneis sculpta (Ehrenberg) Cleve, 1896	SPECIES
Actinoptychus senarius	Actinoptychus C.G.Ehrenberg, 1843	GENUS
Anomoeoneis serians	Anomoeoneis serians (Brébisson ex Kützing) A.Cleve	SPECIES
Anomoeoneis sphaerophora var. guntherii	Anomoeoneis sphaerophora var. guntherii O.Müll.	VARIETY
Achnanthes subhudsonis	Achnanthes subhudsonis	SPECIES
Achnanthes subhudsonis var. kraeuselii	Achnanthes subhudsonis var. kraeuselii (Cholnoky) Cholnoky, 1956	VARIETY
Anomoeoneis sphaerophora	Anomoeoneis sphaerophora E.Pfitzer, 1871	SPECIES
Achnanthes sublaevis	Achnanthes sublaevis Hustedt, 1937	SPECIES
Amphora submontana	Amphora submontana Hustedt, 1949	SPECIES
Anomoeoneis sphaerophora var. navicularis	Anomoeoneis sphaerophora f. navicularis Otto Müller, 1899	FORM
Achnanthes sonyda	Achnanthes sonyda B.Hartley, 1986	SPECIES
Achnanthes subrostrata var. appalachiana	Achnanthes subrostrata var. appalachiana Camburn & Lowe, 1978	VARIETY
Anomoeoneis sphaerophora	Anomoeoneis sphaerophora E.Pfitzer, 1871	SPECIES
Anomoeoneis sphaerophora f. sculpta	Anomoeoneis sphaerophora f. sculpta (Ehrenberg) A.Schmidt, 1977	FORM
Anomoeoneis sphaerophora f. rostrata	Anomoeoneis sphaerophora f. rostrata Gonzalves & H.P.Gandhi, 1953	FORM
Anomoeoneis sphaerophora var. sculpta	Anomoeoneis sphaerophora var. sculpta (Ehrenberg) O.Müller, 1900	VARIETY
Achnanthes straubiana	Achnanthes straubiana Lange-Bertalot, 1996	SPECIES
Amphora subturgida	Amphora subturgida Hustedt, 1937	SPECIES
Achnanthes scotica	Achnanthes scotica Lange-Bertalot, 1993	SPECIES
Achnanthes subatomus	Achnanthes subatomus Hustedt, 1939	SPECIES
Achnanthes strenzkei	Achnanthes strenzkei (Hustedt) Simonsen, 1987	SPECIES
Achnanthes suchlandtii	Achnanthes suchlandtii Hustedt, 1933	SPECIES
Achnanthes suchlandtii var. robusta	Achnanthes suchlandtii Hustedt, 1933	SPECIES
Achnanthes sutura	Achnanthes sutura Carter, 1970	SPECIES
Achnanthes taiaensis	Achnanthes taiaensis Carter & Denny, 1982	SPECIES
Achnanthes triconfusa	Achnanthes triconfusa Van Landingham, 1967	SPECIES
Amphora twenteana	Amphora twenteana K.Krammer, 2003	SPECIES
Aulacoseira ambigua f. japonica	Aulacoseira ambigua f. japonica Tuji & D.M.Williams, 2007	FORM
Aulacoseira alpigena	Aulacoseira alpigena (Grunow) Krammer, 1991	SPECIES
Aulacoseira crenulata	Aulacoseira crenulata (Ehrenberg) Thwaites, 1848	SPECIES
Aulacoseira distans var. alpigenaen	Aulacoseira distans var. alpigena (Grunow) Simonsen, 1979	VARIETY
Aulacoseira distans	Aulacoseira distans (Ehrenberg) Simonsen, 1979	SPECIES
Aulacoseira distans var. nivalis	Aulacoseira distans var. nivalis (W.Smith) Haworth, 1988	VARIETY
Aulacoseira granulata var. angustissima	Aulacoseira granulata var. angustissima O.F.Müller	VARIETY
Aulacoseira granulata	Aulacoseira granulata (Ehrenberg) Simonsen, 1979	SPECIES
Aulacoseira italica f. curvata	Aulacoseira italica f. curvata (Pant.) Hust.	FORM
Aulacoseira islandica	Aulacoseira islandica (O.Müller) Simonsen, 1979	SPECIES
Aulacoseira italica	Aulacoseira italica (Ehrenberg) Simonsen, 1979	SPECIES
Aulacoseira italica var. validaen	Aulacoseira italica var. valida (Grunow) Simonsen, 1979	VARIETY
Achnanthes umara	Achnanthes umara J.R.Carter, 1970	SPECIES
Aulacoseira pseudodistans	Aulacoseira pseudodistans Lange-Bert., 1996	SPECIES
Aulacoseira pfaffiana	Aulacoseira pfaffiana (Reinsch) Krammer, 1991	SPECIES
Aulacoseira pusilla	Aulacoseira pusilla (F.Meister) Tuji & Houk, 2004	SPECIES
AURICULA	-	-
Auricula sp.	-	-
Aulacoseira subborealis	Aulacoseira subborealis (G.Nygaard) L.Denys, K.Muylaert & K.Krammer, 2003	SPECIES
Aulacoseira subarctica f. subborealis	Aulacoseira subarctica f. subborealis (Nygaard) Haworth, 1988	FORM
Aulacoseira subarctica	Aulacoseira subarctica (Otto Müller) E.Y.Haworth, 1990	SPECIES
Aulacoseira tenuior	Aulacoseira tenuior (Grunow) Krammer, 1990	SPECIES
Aulacoseira valida	Aulacoseira valida (Grunow) Krammer, 1991	SPECIES
Anomoeoneis variabilis	Anomoeoneis variabilis (R.Ross) Reimer, 1961	SPECIES
Amphora veneta var. subcapitata	Amphora veneta var. subcapitata Kisselew, 1932	VARIETY
Achnanthes ventralis var. crassa	Achnanthes ventralis var. crassa (C.W.Reimer) Lange-Bertalot, 1989	VARIETY
Amphora veneta	Amphora veneta A.Schmidt, 1875	SPECIES
Amphora veneta terato	Amphora veneta A.Schmidt, 1875	SPECIES
Anomoeoneis vitrea	Anomoeoneis vitrea (Grunow) R.Ross, 1966	SPECIES
Achnanthes ventralis	Achnanthes ventralis (Krasske) Lange-Bertalot, 1989	SPECIES
Amphora vetula	Amphora vetula Levkov, 2009	SPECIES
Achnanthes wickenensis	Achnanthes wickenensis J.R.Carter, 1963	SPECIES
Anomoeoneis sculpta var. temperei	Anomoeoneis sculpta (Ehrenberg) Cleve, 1896	SPECIES
Bacillaria amphibia	Bacillaria amphibia (Grunow) Elmore, 1895	SPECIES
Bacillaria sinuata	Bacillaria sinuata (Thwaites) Elmore, 1895	SPECIES
Bacillaria subtilis	Bacillaria subtilis (Kützing) Elmore, 1895	SPECIES
Belonastrum berolinensis	Belonastrum berolinensis (Lemmermann) Round & Maidana, 2001	SPECIES
Brachysira brebissonii	Brachysira brebissonii H.Lange-Bertalot & G.Moser, 1994	SPECIES
Brachysira brebissonii f. thermalis	Brachysira brebissonii f. thermalis B.Hartley, 1986	FORM
Brachysira exilis	Brachysira exilis (Kützing) Round & D.G.Mann, 1981	SPECIES
Brachysira intermedia	Brachysira intermedia (Østrup) Lange-Bertalot, 1994	SPECIES
Biddulphia laevis	Biddulphia laevis Ehrenberg, 1843	SPECIES
Brachysira liliana	Brachysira liliana Lange-Bertalot, 1994	SPECIES
Brachysira microcephala	Brachysira microcephala (Grunow) Compère, 1986	SPECIES
Brachysira neglectissima	Brachysira neglectissima Lange-Bertalot, 2004	SPECIES
Brachysira neoexilis	Brachysira neoexilis Lange-Bertalot, 1994	SPECIES
Brachysira neoexilis terato	Brachysira neoexilis Lange-Bertalot, 1994	SPECIES
Bacillaria paradoxa	Bacillaria paradoxa J.F.Gmelin, 1791	SPECIES
Bacillaria paxillifera var. paxillifer terato	Bacillaria paxillifer var. paxillifer	VARIETY
Bacillaria paxillifera	Bacillaria paxillifera (O.F.Müller) T.Marsson, 1901	SPECIES
Brachysira procera	Brachysira procera Lange-Bertalot & Gerd Moser, 1994	SPECIES
Bacillaria paxillifer	Bacillaria paxillifer (O.F.Müll.) Hendey	SPECIES
Berkeleya rutilans	Berkeleya rutilans (Trentepohl ex Roth) Grunow, 1880	SPECIES
Brachysira serians	Brachysira serians (Brébisson) Round & D.G.Mann, 1981	SPECIES
Bacillaria vermicularis	Bacillaria vermicularis (Kützing) Elmore, 1895	SPECIES
Brachysira vitrea	Brachysira vitrea (Grunow) R.Ross, 1986	SPECIES
Caloneis alpestris var. grunowii	Caloneis alpestris var. grunowii Meister, 1912	VARIETY
Ceratoneis arcus var. amphioxys	Ceratoneis arcus var. amphioxys (Rabenhorst) Brun, 1880	VARIETY
Cymbella aequalis	Cymbella aequalis W.Smith, 1855	SPECIES
Cymbella excisa	Cymbella excisa Schmidt, 1881	SPECIES
Caloneis fasciata	Caloneis fasciata (Lagerstedt) Cleve, 1894	SPECIES
Cymbella affinis	Cymbella affinis Kützing, 1844	SPECIES
Cymbella affiniformis	Cymbella affiniformis Krammer, 2002	SPECIES
Cyclotella atomus var. gracilis	Cyclotella atomus var. gracilis Genkal & Kiss, 1993	VARIETY
Ceratoneis arcus var. hattoriana	Ceratoneis arcus var. hattoriana Meister, 1914	VARIETY
Cymbella amphicephala var. intermedia	Cymbella amphicephala var. intermedia Cleve-Euler, 1932	VARIETY
Craticula ambigua	Craticula ambigua (Ehrenberg) D.G.Mann, 1990	SPECIES
Caloneis amphisbaena	Caloneis amphisbaena (Bory de Saint Vincent) Cleve, 1894	SPECIES
Cymbella amphicephala	Cymbella amphicephala Näegeli, 1849	SPECIES
Caloneis alpestris	Caloneis alpestris (Grunow) Cleve, 1894	SPECIES
Cymbella aequalis var. grevillei	Cymbella aequalis var. grevillei Cleve-Euler, 1955	VARIETY
Cymbella aequalis var. pisciculus	Cymbella aequalis var. pisciculus (Gregory) Cleve-Euler, 1955	VARIETY
Ceratoneis arcus	Hannaea R.Patrick, 1966	GENUS
Ceratoneis arcus var. linearis	Ceratoneis arcus var. linearis Holmboe, 1899	VARIETY
Cymbella aspera	Cymbella aspera (Ehrenberg) Cleve, 1894	SPECIES
Caloneis tenuis	Caloneis tenuis (W.Gregory) Krammer, 1985	SPECIES
Cymbella affinis terato	Cymbella affinis Kützing, 1844	SPECIES
Cyclotella atomus	Cyclotella atomus Hustedt, 1937	SPECIES
Ceratoneis arcus var. vaucheriae	Ceratoneis arcus f. vaucheriae (Kützing) Fukushima & Kobayashi, 1957	FORM
Caloneis ventricosa	Caloneis ventricosa (Ehrenberg) F.Meister, 1912	SPECIES
Caloneis bacillum	Caloneis bacillum (Grunow) Cleve, 1894	SPECIES
Cymbopleura amphicephala	Cymbopleura amphicephala (Nägeli) Krammer, 2003	SPECIES
Cymbopleura apiculata	Cymbopleura apiculata Krammer, 2003	SPECIES
Caloneis bacillum terato	Caloneis bacillum (Grunow) Cleve, 1894	SPECIES
Cyclotella balatonis var. binotata	Cyclotella balatonis var. binotata Pantocsek, 1902	VARIETY
Cymbopleura cuspidata	Cymbopleura cuspidata (Kützing) Krammer, 2003	SPECIES
Cymatosira belgica	Cymatosira belgica Grunow, 1881	SPECIES
Caloneis bacillum var. fasciata	Caloneis bacillum var. fasciata (Cleve) Mayer, 1939	VARIETY
Caloneis bacillum f. fonticola	Caloneis bacillum f. fonticola (Grunow) Mayer, 1939	FORM
Cymbopleura hustedtii	Cymbopleura hustedtii (Krasske) E.Novelo, R.Tavera & C.Ibarra, 2007	SPECIES
Cymbella bipartita	Cymbella bipartita A.Mayer, 1916	SPECIES
Cymbopleura kuelbsii	Cymbopleura kuelbsii K.Krammer, 2003	SPECIES
Caloneis bacillum var. lancettula	Caloneis bacillum var. lancettula (Schulz) Hustedt, 1930	VARIETY
Cymbopleura naviculiformis	Cymbopleura naviculiformis (Auerswald ex Heiberg) Krammer, 2003	SPECIES
Cyclotella bodanica	Cyclotella bodanica Eulenstein ex Grunow, 1878	SPECIES
Cymbella bipartita var. densestriata	Cymbella bipartita var. densestriata Cleve-Euler, 1939	VARIETY
Cymbella cistula var. asiatica	Cymbella cistula var. asiatica Mereschkowsky, 1906	VARIETY
Cymbella caespitosa	Cymbella caespitosa (Kützing) Schutt, 1896	SPECIES
Cyclotella caspia var. affinis	Cyclotella caspia var. affinis Proschkina-Lavrenko & Makarova, 1964	VARIETY
Cyclotella caspia	Cyclotella caspia Grunow, 1878	SPECIES
Cyclotella comta(Ehr.)Kützing f. binotata	Cyclotella comta f. binotata (Pantocsek) Cleve-Euler, 1951	FORM
Cyclotella cyclopuncta	Cyclotella cyclopuncta Håkansson & J.R.Carter, 1990	SPECIES
Cymbella chandolensis	Cymbella chandolensis H.P.Gandhi, 1964	SPECIES
Cymbella cesatii	Cymbella cesatii (Rabenh.) Grunow ex A.W.F.Schmidt	SPECIES
Cymbella cesatii f. minor	Cymbella cesatii f. minor E.Manguin, 1942	FORM
Cymbella cistula var. gibbosa	Cymbella cistula var. gibbosa Brun, 1895	VARIETY
Cymbella cistula var. hebetata	Cymbella cistula var. hebetata (Pantocsek) Cleve-Euler, 1955	VARIETY
Cyclotella choctawhatcheeana	Cyclotella choctawhatcheeana Prasad, 1990	SPECIES
Cyclostephanos incognitus	Cyclostephanos F.E.Round ex Theriot, Hakansson, Kociolek, Round & Stoermer, 1987	GENUS
Cymbella cistula	Cymbella cistula Schmidt, 1875	SPECIES
Cymbella cesatii var. linearis	Cymbella cesatii var. linearis Reimer, 1961	VARIETY
Cyclotella comta	Cyclotella comta Skabichevskii, 1960	SPECIES
Cymbella cistula f. minor	Cymbella cistula f. minor Cleve-Euler, 1932	FORM
Cymbella compacta	Cymbella compacta Østrup, 1910	SPECIES
Cyclotella comensis	Cyclotella comensis Grunow, 1882	SPECIES
Cavinula cocconeiformis	Cavinula cocconeiformis (Gregory ex Greville) D.G.Mann & A.J.Stickle, 1990	SPECIES
Cyclotella comta var. oligactis	Cyclotella comta var. oligactis (Ehrenberg) Grunow, 1882	VARIETY
Cyclotella comta	Cyclotella comta Skabichevskii, 1960	SPECIES
Cyclotella costei	Cyclotella costei Druart & Straub, 1988	SPECIES
Cyclotella comta var. unipunctata	Cyclotella comta var. unipunctata Fricke, 1900	VARIETY
Cyclotella comta var. quadrijuncta	Cyclotella comta var. quadrijuncta Schrot., 1896	VARIETY
Cyclotella comta var. radiosa	Cyclotella comta var. radiosa Cleve & Möller, 1879	VARIETY
Cymbella cistula f. recta	Cymbella cistula f. recta Mayer, 1913	FORM
Capartogramma crucicula	Capartogramma crucicula (Grunow) R.Ross, 1963	SPECIES
Cyclotella cryptica	Cyclotella cryptica Reimann, Lewin & Guillard, 1963	SPECIES
Cyclotella sinensis	Cyclotella sinensis (Ehrenberg) Ralfs, 1861	SPECIES
Cymbella cistula f. truncata	Cymbella cistula f. truncata Mayer, 1913	FORM
Cyclostephanos costatilimbus	Cyclostephanos costatilimbus (H.Kobayasi & H.Kobayashi) E.F.Stoermer, H.Håkansson & E.C.Theriot, 1988	SPECIES
Cymbella cistula f. typica	Cymbella cistula f. typica (Meister) Mayer, 1913	FORM
Cymbella cistula f. undulata	Cymbella cistula f. undulata Mayer, 1913	FORM
Craticula cuspidata var. heribaudii	Craticula cuspidata var. heribaudi (Peragallo) J.Y.Li & Y.Z.Qi, 2018	VARIETY
Cymbella cymbiformis var. unipunctata	Cymbella cymbiformis var. unipunctata Cleve-Euler, 1955	VARIETY
Cymbella cuspidata	Cymbella cuspidata Kützing, 1844	SPECIES
Cymbella cymbiformis	Cymbella cymbiformis C.Agardh, 1830	SPECIES
Cyclotella dahurica	Cyclotella dahurica M.Kachaeva, 1973	SPECIES
Cyclotella dalasiana	Cyclotella dallasiana W.Smith, 1856	SPECIES
Cocconeis disculus var. diminuta	Cocconeis disculus var. diminuta (Pant.) A.Cleve	VARIETY
Cymbella delicatula	Cymbella delicatula Kützing, 1849	SPECIES
Cocconeis diminuta	Cocconeis diminuta Pantocsek, 1902	SPECIES
Cocconeis disculus	Cocconeis disculus (Schumann) Cleve, 1882	SPECIES
Cocconeis disculus var. minor	Cocconeis disculus var. minor Fontell, 1922	VARIETY
Cymbella dorsenotata	Cymbella dorsenotata Østrup, 1910	SPECIES
Cyclotella distinguenda	Cyclotella distinguenda Hustedt, 1928	SPECIES
Cyclostephanos dubius	Cyclostephanos dubius (Hustedt) Round, 1988	SPECIES
Cyclotella distinguenda-unipunctata	Cyclotella (F.T.Kützing) A.de Brébisson, 1838	GENUS
Cymbella ehrenbergii	Cymbella ehrenbergi Kützing, 1844	SPECIES
Cymatopleura elliptica	Cymatopleura elliptica (Brébisson) W.Smith, 1851	SPECIES
Cymbella excisa var. procera	Cymbella excisa var. procera Krammer, 2002	VARIETY
Cymbella excisa terato	Cymbella excisa Schmidt, 1881	SPECIES
Cocconeis euglypta	Cocconeis euglypta Ehrenberg, 1854	SPECIES
Caloneis fasciata var. fonticola	Caloneis fasciata var. fonticola (Lagerstedt) Østrup	VARIETY
Caloneis fasciata	Caloneis fasciata (Lagerstedt) Cleve, 1894	SPECIES
Cymbella filarszkyi	Cymbella filarszkyi Halász, 1937	SPECIES
Cyclotella gamma	Cyclotella gamma Sovereign, 1963	SPECIES
Cymbella gastroides	Cymbella gastroides Hanna & Grant, 1929	SPECIES
Cymbella gallica	Cymbella gallica Héribaud-Joseph, 1908	SPECIES
Cyclotella glomerata	Cyclotella glomerata H.Bachmann, 1911	SPECIES
Cymbella gracilis var. minuta	Cymbella gracilis var. minuta (Hilse) Rabenhorst, 1864	VARIETY
Cymbella gracilis	Cymbella gracilis Wang	SPECIES
Cyclotella hakanssoniae	Cyclotella hakanssoniae Wendker, 1991	SPECIES
Craticula halophila	Craticula halophila (Grunow) D.G.Mann, 1990	SPECIES
Chamaepinnularia bremensis	Chamaepinnularia bremensis (Hustedt) Lange-Bertalot, 1996	SPECIES
Cymbella helvetica var. compacta	Cymbella helvetica var. compacta (Østrup) Hustedt, 1955	VARIETY
Cymbella helvetica	Cymbella helvetica Schmidt, 1881	SPECIES
Chamaepinnularia evanida	Chamaepinnularia evanida (Hustedt) Lange-Bertalot, 1996	SPECIES
Cymbella heterogibbosa	Cymbella heterogibbosa H.Kobayasi & Mayama, 2002	SPECIES
Chamaepinnularia hassiaca	Chamaepinnularia hassiaca (Krasske) Cantonati & Lange-Bertalot, 2009	SPECIES
Campylodiscus hibernicus	Campylodiscus hibernicus Ehrenberg, 1845	SPECIES
Chamaepinnularia muscicola	Chamaepinnularia muscicola (J.B.Petersen) M.S.Kulikovskiy, Lange-Bert. & Witkowski, 2010	SPECIES
Chamaepinnularia mediocris	Chamaepinnularia mediocris (Krasske) Lange-Bertalot & Krammer, 1996	SPECIES
Cymbella helvetica var. major	Cymbella helvetica var. major Meister, 1912	VARIETY
Chaetoceros muelleri	Chaetoceros muelleri Lemmermann	SPECIES
Chamaepinnularia soehrensis var. hassiaca	Chamaepinnularia soehrensis var. hassiaca (Krasske) Lange-Bert.	VARIETY
Chamaepinnularia soehrensis var. muscicola	Chamaepinnularia soehrensis var. muscicola (Petersen) Lange-Bertalot & Krammer, 1996	VARIETY
Chamaepinnularia soehrensis	Chamaepinnularia soehrensis (Krasske) Lange-Bertalot & Krammer, 1996	SPECIES
Cymbella hustedtii f. stigmata	Cymbella hustedtii f. stigmata Compère, 1980	FORM
Cymbella hustedtii	Cymbella hustedtii Krasske, 1923	SPECIES
Coscinodiscus hustedtii	Coscinodiscus hustedtii Müller-Melchers, 1953/1955	SPECIES
Chamaepinnularia ventosa	Chamaepinnularia ventosa (Hustedt) C.E.Wetzel & Ector	SPECIES
Cymbella ineaqualis	Cymbella inaequalis Ross, 1952	SPECIES
Cyclostephanos invisitatus	Cyclostephanos invisitatus (Hohn & Hellermann) Theriot, Stoermer & Håkasson, 1988	SPECIES
Cymbopleura inaequalis	Cymbopleura inaequalis (Ehrenberg) Krammer, 2003	SPECIES
Cymbella javorkae	Cymbella javorkae Krenner, 1926	SPECIES
Cymbella kolbei	Cymbella kolbei Hustedt, 1949	SPECIES
Cyclotella kuetzingiana var. planetophora	Cyclotella kuetzingiana var. planetophora Fricke	VARIETY
Cyclotella kuetzingiana var. radiosa	Cyclotella kuetzingiana var. radiosa Fricke, 1900	VARIETY
